gene_index	gene_name
3809	Car2
3811	Car4
3816	Car8
3822	Card9
3863	Cav1
3864	Cav2
3877	Cbr2
3906	Ccdc108
3909	Ccdc11
3913	Ccdc113
3937	Ccdc141
3940	Ccdc146
3948	Ccdc153
3958	Ccdc17
3969	Ccdc3
3972	Ccdc33
3980	Ccdc42
3993	Ccdc57
4000	Ccdc63
4003	Ccdc65
4016	Ccdc78
4019	Ccdc80
4024	Ccdc85a
4025	Ccdc85b
4049	Ccl11
4050	Ccl12
4051	Ccl17
4052	Ccl19
4053	Ccl2
4055	Ccl22
4056	Ccl24
4060	Ccl3
4061	Ccl4
4062	Ccl5
4063	Ccl6
4064	Ccl7
4065	Ccl8
4066	Ccl9
4072	Ccnb2
4075	Ccnd1
4076	Ccnd2
4087	Ccnjl
4091	Ccno
4097	Ccr1
4098	Ccr10
4099	Ccr2
4100	Ccr3
4102	Ccr5
4104	Ccr7
4106	Ccr9
4107	Ccrl1
4108	Ccrl2
4122	Cd109
4123	Cd14
4125	Cd160
4130	Cd177
4132	Cd19
4135	Cd2
4136	Cd200
4139	Cd200r3
4142	Cd209a
4145	Cd209d
4147	Cd209f
4149	Cd22
4151	Cd244
4152	Cd247
4153	Cd248
4154	Cd24a
4155	Cd27
4158	Cd28
4161	Cd300a
4163	Cd300e
4164	Cd300lb
4165	Cd300ld
4166	Cd300lf
4171	Cd33
4172	Cd34
4173	Cd36
4174	Cd37
4176	Cd3d
4177	Cd3e
4179	Cd3g
4180	Cd4
4183	Cd44
4186	Cd48
4187	Cd5
4188	Cd52
4189	Cd53
4190	Cd55
4191	Cd59a
4194	Cd6
4195	Cd63
4196	Cd68
4197	Cd69
4198	Cd7
4200	Cd72
4201	Cd74
4202	Cd79a
4203	Cd79b
4205	Cd81
4207	Cd83
4208	Cd84
4210	Cd8a
4211	Cd8b1
4212	Cd9
4213	Cd93
4215	Cd97
4224	Cdc20
4252	Cdca3
4259	Cdh1
4261	Cdh11
4263	Cdh13
4265	Cdh16
4269	Cdh2
4276	Cdh4
4277	Cdh5
4283	Cdhr3
4300	Cdk2ap2
4319	Cdkn1a
4321	Cdkn1c
4322	Cdkn2a
4325	Cdkn2b
4326	Cdkn2c
4330	Cdo1
4331	Cdon
4344	Ceacam1
4345	Ceacam10
4355	Cebpb
4356	Cebpd
4357	Cebpe
4364	Cela1
4366	Cela3b
4377	Cenpa
4381	Cenpf
4411	Cep72
4423	Ces1d
4428	Ces2b
4440	Cetn4
4441	Cfb
4445	Cfh
4452	Cfp
4460	Ch25h
4461	Chac1
4469	Chchd10
4492	Chga
4493	Chgb
4494	Chi3l1
4495	Chi3l3
4497	Chia
4502	Chka
4504	Chl1
4517	Chn1
4526	Chrdl1
4529	Chrm2
4539	Chrna7
4546	Chst1
4550	Chst13
4553	Chst2
4555	Chst4
4556	Chst5
4575	Cidec
4577	Cilp
4578	Cilp2
4589	Cited2
4590	Cited4
4596	Ckb
4602	Cks2
4606	Clca1
4629	Cldn15
4632	Cldn18
4633	Cldn19
4634	Cldn2
4641	Cldn3
4643	Cldn5
4645	Cldn7
4650	Clec11a
