gene_index	gene_name
7454	Krt84
7457	Krt75
7462	Krt6b
7463	Krt6a
7464	Krt5
7470	Krt1
7472	Krt76
7473	Krt4
7474	Krt79
7475	Krt78
7476	Krt8
7504	Hoxc13
7575	Ppl
7594	Emp2
7651	Cebpd
7707	Ranbp1
7762	2310042E22Rik
7763	Ephb3
7781	Fetub
7802	Trp63
7804	Cldn1
7823	Hes1
7825	Lrrc15
7831	Fam43a
7834	Ppp1r2
7869	Rpl35a
7900	Fam162a
7902	Csta
7909	BC100530
7911	Stfa3
8014	Alcam
8017	Nfkbiz
8020	Rpl24
8030	Tmem45a
8137	Adamts1
8149	Cldn17
8152	2310079G19Rik
8155	2310061N02Rik
8156	Krtap13-1
8216	Rcan1
8225	Cbr3
8244	Hmgn1
8290	Ezr
8353	Mllt4
8390	Has1
8470	Tnfrsf12a
8530	Rps2
8538	Hagh
8610	Dusp1
8612	Atp6v0e
8632	Rps10
8647	Rpl10a
8665	Srsf3
8667	Cdkn1a
8675	Pim1
8719	Cyp4f39
8754	Angptl4
8756	Rps28
8769	Rps18
8773	H2-K1
8829	Hspa1b
8830	Hspa1a
8837	Clic1
8841	Ly6g6c
8843	Ly6g6e
8862	H2-D1
8884	Ier3
8886	Tubb5
8999	Rn45s
9044	Hsp90ab1
9045	Slc29a1
9063	Dlk2
9107	Mdfi
9197	Rpl36
9211	Acer1
9236	Efna5
9247	Ralbp1
9268	Tgif1
9271	Myl12a
9285	Clip4
9321	Cdc42ep3
9329	Srsf7
9345	Cox7a2l
9350	Zfp36l2
9380	Calm2
9381	Epcam
9406	Bambi
9474	Dsc3
9475	Dsc2
9476	Dsc1
9478	Dsg1a
9481	Dsg3
9504	Slc39a6
9545	Reep5
9559	Egr1
9585	Hbegf
9669	Pcdh1
9698	Jakmip2
9701	Gm94
9702	Spink5
9704	Spink6
9756	Ppic
9797	Rps14
9825	Adrb2
9849	Sec11c
9866	Tubb6
9884	Rab27b
9885	2310002L13Rik
9907	Rpl17
9928	Atp5a1
9982	Chka
9988	Aldh3b2
9994	Gstp1
10025	Spnb3
10053	Cst6
10061	Fosl1
10067	Cfl1
10070	Ovol1
10084	Malat1
10085	Neat1
10097	Fau
10127	Prdx5
10169	Slc3a2
10170	Snhg1
10199	Eef1g
10200	Ahnak
10203	Incenp
10204	Fth1
10362	Anxa1
10369	Zfand5
10376	Klf9
10419	Insl6
10457	Acta2
10518	Pdlim1
10537	Frat2
10539	Pgam1
10549	Avpi1
10572	Cpn1
10598	Kazald1
10648	Col17a1
10649	Sfr1
10651	Gsto1
10669	Pdcd4
10692	Ablim1
10744	Fam107b
10754	Ccdc3
10826	Arl5b
10827	Plxdc2
10868	Il1f9
10869	Il1f6
10872	Il1rn
10885	Nrarp
10890	Tubb4b
10893	2310002J15Rik
10914	Clic3
10958	Notch1
11025	Set
11032	Ccbl1
11050	Ptges
11080	1110008P14Rik
11083	Slc25a25
11106	Rpl12
11121	Hspa5
11132	Gsn
11146	Ptgs1
11194	Rpl35
11219	Rnd3
11238	Nr4a2
11253	Dapl1
11320	Cybrd1
11333	Cdca7
11364	Hnrnpa3
11410	2700094K13Rik
11683	Lrp4
11735	Fjx1
11741	Ehf
11752	Cd59a
11763	Prrg4
11782	Bdnf
11786	Ccdc34
11883	D2Ertd750e
11897	Spint1
11898	Rhov
11908	Nusap1
11939	Tgm5
11948	Ckmt1
11967	B2m
11993	Dut
12021	Dusp2
12030	Mal
12031	Mall
12050	Ckap2l
12060	Tgm3
12113	Pcna
12127	Bmp2
12159	Dstn
12212	Cst3
12249	Srxn1
12272	H13
12274	Id1
12277	Tpx2
12323	Eif2s2
12342	Procr
12345	Eif6
12411	Mafb
12412	Top1
12440	Ada
12449	Wfdc5
12450	Wfdc12
12459	Slpi
12462	Sdc4
12466	Wfdc2
12481	Ube2c
12520	1500012F01Rik
12531	Cebpb
12589	Gnas
12639	Adrm1
12641	Rps21
12711	Stmn2
12720	Fabp5
12786	Rpl22l1
12834	Anxa5
12839	Ccna2
12881	Ccrn4l
12918	Tm4sf1
12924	Pfn2
12952	Rap2b
12973	Tiparp
12975	Ccnl1
12991	Smc4
13001	1110032A04Rik
13064	Rps3a
13089	Crabp2
13101	Rhbg
13111	Pmf1
13114	Lmna
13117	Rab25
13133	Fdps
13158	Cks1b
13162	Pmvk
13178	Rps27
13183	Slc39a1
13195	S100a14
13196	S100a16
13198	S100a3
13199	S100a4
13201	S100a6
13209	Lor
13210	Prr9
13218	Sprr2g
13219	Sprr2h
13220	Sprr2i
13221	Sprr2j-ps
13222	Sprr2k
13223	Sprr1b
13224	Sprr3
13225	Sprr1a
13243	2310050C09Rik
13246	Lce3c
13249	Crct1
13255	Rptn
13257	Tchh
13259	S100a11
13260	S100a10
13270	Them5
13286	Selenbp1
13318	Ecm1
13353	Txnip
13361	Ankrd35
13385	Phgdh
13409	Atp1a1
13416	Ngf
13500	Gstm1
13524	Gpsm2
13525	Aknad1
13564	Palmd
13580	F3
13584	Gclm
13593	1810037I17Rik
13637	Ccdc109b
13662	Cenpe
13679	H2afz
13688	Adh7
13715	Lmo4
13730	Cyr61
13743	Gng5
13751	Lphn2
13808	Rps20
13812	Sdr16c5
13845	Gem
13877	Ggh
13915	Pnrc1
13945	Dnaja1
13956	Aqp3
14015	Tpm2
14073	Anp32b
14107	Smc2
14127	Klf4
14143	Txn1
14152	Ptgr1
14155	Ugcg
14216	Pappa
14245	Nfib
14264	Rps6
14324	Jun
14385	Ppap2b
14462	Gm12824
14470	Pdzk1ip1
14508	Prdx1
14522	Plk3
14523	Rps8
14546	Elovl1
14547	Cdc20
14569	Slc2a1
14577	Ybx1
14588	Edn2
14647	Cdca8
14654	Zc3h12a
14688	Gjb4
14702	Tmem54
14716	Marcksl1
14736	Tinagl1
14755	Rps15a-ps4
14788	Sytl1
14793	Fam46b
14800	Sfn
14805	Hmgn2
14825	Stmn1
14835	D4Wsu53e
14845	Grhl3
14859	Rpl11
14860	Id3
14878	Wnt4
14911	Nbl1
14920	Iffo2
14947	Epha2
15069	Rbp7
15072	Ctnnbip1
15088	Errfi1
