1702;8595
3729;4466
6347;9794
478;1570
9698;10571
828;9590
2839;3426
1531;9671
2576;5781
5231;8819
4553;5586
9281;9472
6837;9735
7274;8124
4923;6304
5118;7147
4257;5847
9304;10810
560;1953
7893;9321
67;7058
10417;11630
5869;8021
748;1086
2684;9873
11003;11390
499;8157
3279;10644
8861;11015
5913;11099
3592;6719
2963;2986
3461;4055
1929;4697
1253;5129
1939;10322
7963;10523
4126;6440
4925;10304
2189;11377
1616;8608
1750;2854
5152;6505
7092;7625
5707;11718
3235;8024
5053;8600
6264;6427
1037;2074
4229;5645
10562;11416
4176;8723
10540;11049
6841;11017
6771;8434
116;8428
10459;11163
10240;11151
1702;8838
7895;11543
3306;11215
4315;5895
1099;7738
9586;11078
3038;9190
2085;8990
7555;10319
6813;7679
340;8022
7651;9056
2050;9794
254;4823
1618;3949
7165;8393
4082;7806
2249;2713
3313;10451
3310;3888
8919;11016
6187;10043
1174;1713
2178;5387
6020;6231
1641;4139
4986;6724
1243;3550
233;4263
1276;6547
2246;7534
1267;4553
6893;7087
2550;3887
894;6397
462;5766
1323;3383
9552;10299
4507;10897
207;8071
2658;11481
4604;10180
3038;3747
7568;10627
203;4476
6847;10348
4895;10366
4563;5761
6163;6433
6873;7224
7403;8813
3924;9722
1937;11464
4263;6159
1068;2043
6945;10709
1782;10252
4576;4749
4565;7656
9784;9787
1174;5570
5425;9961
4315;11448
7529;10886
6431;6751
4213;5342
5123;6560
4645;8564
1920;1962
2643;4615
5220;5696
10235;11132
4163;8741
7115;9732
2228;6390
2539;11141
1487;4227
4293;5484
439;7009
4096;6213
1613;6984
7573;10059
49;571
10509;11541
1029;6792
998;2820
1970;10957
10236;10737
5155;10829
695;4189
6512;7485
1428;3358
2563;4030
7969;10433
482;7227
4673;9603
1201;11626
2021;3794
5518;10573
272;4923
7894;9522
2240;5119
3355;7592
1864;8643
505;6617
1695;11340
7447;10687
1805;7144
5068;9264
8122;9193
3465;6310
7144;8410
1901;5110
6009;8017
6185;6900
5911;9073
5346;8405
633;6675
8844;10488
927;5278
7496;9731
6037;6631
7535;10082
1509;1767
3102;5494
4293;6233
3729;4120
2155;3764
9544;10642
2795;4783
4206;7435
4006;10269
1285;6411
16;739
5369;6790
351;2511
6136;7833
6177;10373
7792;10997
1115;10697
8962;8977
7266;11130
419;8504
2764;4500
2748;4977
82;8610
2172;10186
108;2375
1779;8785
9702;11138
5330;6866
6131;7905
1919;2016
1521;2097
5244;6429
2090;3693
3719;10296
1378;4129
3590;10514
6849;11432
3366;5511
4073;10904
6;6377
1814;10029
1893;6667
3925;8342
3530;4496
5761;8336
2098;11039
753;2305
6622;8944
1226;8353
2355;6345
4188;9650
