gene_index	gene_name
3650	C3ar1
3655	C4b
3659	C530008M17Rik
3662	C5ar1
3709	Cacna1s
3725	Cadm1
3726	Cadm2
3727	Cadm3
3728	Cadm4
3733	Calca
3734	Calcb
3738	Calcrl
3739	Cald1
3741	Calm1
3746	Calml3
3794	Capns2
3798	Capsl
3809	Car2
3810	Car3
3811	Car4
3816	Car8
3851	Casq2
3863	Cav1
3867	Cbfa2t3
3877	Cbr2
3906	Ccdc108
3909	Ccdc11
3913	Ccdc113
3927	Ccdc129
3928	Ccdc13
3940	Ccdc146
3948	Ccdc153
3957	Ccdc164
3958	Ccdc17
3972	Ccdc33
3975	Ccdc37
3977	Ccdc39
3978	Ccdc40
4003	Ccdc65
4005	Ccdc67
4019	Ccdc80
4024	Ccdc85a
4025	Ccdc85b
4031	Ccdc88c
4045	Cck
4048	Ccl1
4049	Ccl11
4050	Ccl12
4051	Ccl17
4052	Ccl19
4053	Ccl2
4054	Ccl20
4055	Ccl22
4056	Ccl24
4060	Ccl3
4061	Ccl4
4062	Ccl5
4063	Ccl6
4064	Ccl7
4065	Ccl8
4066	Ccl9
4072	Ccnb2
4075	Ccnd1
4091	Ccno
4097	Ccr1
4099	Ccr2
4102	Ccr5
4104	Ccr7
4106	Ccr9
4107	Ccrl1
4108	Ccrl2
4121	Cd101
4123	Cd14
4125	Cd160
4126	Cd163
4127	Cd163l1
4130	Cd177
4135	Cd2
4136	Cd200
4140	Cd200r4
4141	Cd207
4142	Cd209a
4145	Cd209d
4147	Cd209f
4148	Cd209g
4152	Cd247
4153	Cd248
4154	Cd24a
4155	Cd27
4156	Cd274
4158	Cd28
4161	Cd300a
4163	Cd300e
4165	Cd300ld
4166	Cd300lf
4167	Cd300lg
4171	Cd33
4172	Cd34
4173	Cd36
4174	Cd37
4175	Cd38
4176	Cd3d
4177	Cd3e
4179	Cd3g
4183	Cd44
4184	Cd46
4186	Cd48
4187	Cd5
4188	Cd52
4189	Cd53
4191	Cd59a
4194	Cd6
4196	Cd68
4197	Cd69
4198	Cd7
4200	Cd72
4201	Cd74
4202	Cd79a
4205	Cd81
4207	Cd83
4208	Cd84
4209	Cd86
4211	Cd8b1
4212	Cd9
4213	Cd93
4240	Cdc42ep2
4241	Cdc42ep3
4257	Cdca8
4259	Cdh1
4261	Cdh11
4265	Cdh16
4268	Cdh19
4274	Cdh26
4277	Cdh5
4300	Cdk2ap2
4314	Cdkl1
4319	Cdkn1a
4321	Cdkn1c
4322	Cdkn2a
4329	Cdnf
4345	Ceacam10
4355	Cebpb
4356	Cebpd
4357	Cebpe
4364	Cela1
4366	Cela3b
4377	Cenpa
4381	Cenpf
4387	Cenpm
4423	Ces1d
4425	Ces1f
4431	Ces2e
4441	Cfb
4443	Cfd
4445	Cfh
4452	Cfp
4456	Cgn
4460	Ch25h
4463	Chad
4469	Chchd10
4492	Chga
4494	Chi3l1
4495	Chi3l3
